"turn","move","pawn_strength","houdini_rank"
0,"start",0,0
1,"e4",0.12,0
1.5,"c5",0.2,3
2,"Nf3",0.2,0
2.5,"d6",0.22,1
3,"d4",0.19,3
3.5,"cxd4",0.21,0
4,"Nxd4",0.18,1
4.5,"Nf6",0.16,0
5,"Nc3",0.11,0
5.5,"g6",0.15,0
6,"Be3",0.12,0
6.5,"Bg7",0.23,0
7,"f3",0.23,0
7.5,"Nc6",0.28,3
8,"Qd2",0.29,0
8.5,"O-O",0.18,0
9,"O-O-O",0.27,0
9.5,"d5",0.21,3
10,"exd5",0.39,2
10.5,"Nxd5",0.1,0
11,"Nxc6",0,0
11.5,"bxc6",0.07,0
12,"Bd4",0,1
12.5,"Bxd4",0,0
13,"Qxd4",0,0
13.5,"Qb6",0,0
14,"Na4",-0.02,3
14.5,"Qc7",0,0
15,"Bc4",0,0
15.5,"Rd8",0,0
16,"Nc5",0,0
16.5,"Bf5",0,0
17,"Bb3",0,0
17.5,"h5",0.36,3
18,"g4",0.4,0
18.5,"e5",0.46,0
19,"Qg1",0.45,0
19.5,"Nf4",0.55,0
20,"Re1",0.48,0
20.5,"hxg4",0.52,0
21,"fxg4",0.46,0
21.5,"Bc8",0.52,0
22,"Qg3",0.21,3
22.5,"a5",0.24,2
23,"Qh4",1.28,0
23.5,"a4",2.7,3
24,"Bxf7+",3.48,0
24.5,"Kg7",3.25,0
25,"Ne4",3.35,0
